No.,text,Valence_Mean,Arousal_Mean,Valence_SD,Arousal_SD
107,非常好,8.5,6.625,0.5,0.484
108,很好,8.0,6.0,0.0,0.0
109,相当好,7.4,6.0,0.49,0.0
110,挺好,6.925,5.656,0.356,0.483
111,特别好,7.556,6.375,0.497,0.484
112,略好,5.913,4.625,0.28,0.484
113,异常好,7.311,6.25,0.635,0.354
114,无比好,7.7,6.871,0.535,0.43
115,稍好,6.278,4.411,0.394,0.491
116,稍微好,6.611,5.925,0.601,0.334
117,超好,8.444,7.0,0.497,0.667
118,超级好,7.625,6.667,0.484,0.471
119,越好,7.267,5.378,0.226,0.563
120,愈好,7.47,6.25,0.372,0.173
121,较好,7.311,5.344,0.328,0.409
122,蛮好,6.933,5.086,0.558,0.304
123,比较好玩,6.338,5.8,0.485,0.432
124,挺好玩,7.0,5.744,0.408,0.581
125,超好玩,7.433,6.6,0.383,0.35
126,蛮好玩,7.0,6.222,0.408,0.248
127,太好笑,7.25,7.375,0.433,0.484
128,比较好笑,6.944,6.844,0.279,0.558
129,更好笑,6.833,7.0,0.577,0.378
130,很好笑,7.0,7.0,0.0,0.0
131,挺好笑,6.7,6.822,0.457,0.512
132,最好笑,7.4,7.5,0.49,0.5
133,超好笑,7.289,7.178,0.269,0.358
134,超级好笑,7.35,7.4,0.456,0.469
135,蛮好笑,6.4,6.4,0.49,0.49
136,比较安心,5.556,2.667,0.497,0.667
137,较安心,6.122,2.338,0.483,0.377
138,比较安全,6.444,4.375,0.497,0.484
139,更安全,7.0,4.778,0.0,0.416
140,更加安全,7.0,5.7,0.107,0.571
141,更为安全,7.2,5.171,0.279,0.416
142,稍微安全,6.413,4.367,0.344,0.6
143,较安全,6.5,4.625,0.5,0.484
144,较为安全,6.8,4.333,0.49,0.483
145,十分成功,8.875,7.929,0.217,0.319
146,非常成功,9.0,7.5,0.0,0.5
147,相当成功,8.778,7.4,0.416,0.49
148,略成功,6.1,5.025,0.635,0.043
149,最为成功,8.544,7.078,0.365,0.715
150,极为成功,8.913,7.825,0.162,0.156
151,还有用,5.856,4.638,0.347,0.755
152,更为有利,6.625,6.7,0.249,0.235
153,最有利,7.0,6.667,0.816,0.471
154,最为有利,7.463,6.42,0.466,1.055
155,较有利,6.075,5.7,0.295,0.44
156,较为有利,6.186,5.556,0.242,0.525
157,更有效,7.0,6.0,0.0,0.0
158,更为有效,7.389,6.286,0.393,0.247
159,最有效,7.444,6.111,0.497,0.314
160,最为有效,7.813,6.389,0.242,0.458
161,十分有趣,8.222,7.063,0.533,0.39
162,比较有趣,6.875,6.125,0.696,0.217
163,更为有趣,7.3,6.0,0.33,0.0
164,非常有趣,8.0,7.0,0.0,0.0
165,很有趣,7.778,6.0,0.416,0.0
166,挺有趣,7.811,6.378,0.264,0.308
167,很有钱,7.222,6.222,0.416,0.416
168,最有钱,6.913,6.438,0.462,0.529
169,稍微有钱,6.256,5.463,0.527,0.596
170,超有钱,7.5,6.938,0.527,0.583
171,超级有钱,7.589,7.056,0.378,0.568
172,越有钱,6.08,6.113,0.841,0.169
173,还有钱,5.778,5.01,0.705,0.749
174,愈有钱,6.7,5.68,0.462,0.658
175,太自由,6.0,6.071,0.949,0.821
176,完全自由,6.956,5.28,0.479,0.349
177,更为自由,6.822,5.95,0.397,0.132
178,无比自信,8.46,6.65,0.388,0.283
179,万分自责,2.2,6.913,0.343,0.337
180,极其低落,2.344,4.8,0.337,1.173
181,太冷,3.0,5.333,0.0,0.471
182,好冷,3.0,5.0,0.0,0.0
183,有点冷,3.333,4.375,0.471,0.484
184,略冷,3.938,4.286,0.39,0.452
185,稍冷,3.878,3.678,0.529,0.545
186,稍微冷,3.663,3.556,0.415,0.497
187,超级冷,2.513,4.056,0.398,0.986
188,越冷,3.133,3.813,0.583,0.657
189,愈冷,3.0,5.333,0.0,0.471
190,较冷,3.311,4.425,0.436,0.323
191,异常冷淡,2.3,4.1,0.457,0.622
192,完全否定,2.625,5.822,0.426,0.496
193,完全否认,2.722,5.489,0.579,0.475
194,尤其吸引,6.478,6.857,0.399,0.337
195,格外吸引,7.278,7.333,0.416,0.471
196,特别吸引,6.156,6.5,0.778,0.463
197,十分壮观,7.722,7.188,0.671,0.242
198,相当壮观,7.188,6.989,0.864,0.716
199,老妓女,2.075,5.671,0.319,0.856
200,更完善,7.0,5.375,0.0,0.484
201,更加完善,7.0,5.0,0.0,0.0
202,更为完善,7.725,5.38,0.228,0.508
203,老巫婆,2.5,6.286,0.5,0.525
204,尤其希望,7.988,6.325,0.257,0.424
205,更希望,7.889,6.0,0.314,0.0
206,无比快乐,8.313,7.563,0.428,0.527
207,极其扭曲,1.989,6.588,0.179,0.362
208,极度扭曲,2.4,6.6,0.33,0.35
209,略改善,5.813,4.5,0.242,0.408
210,略微改善,6.222,5.4,0.355,0.71
211,稍稍改善,5.722,4.667,0.248,0.624
212,稍微改善,6.25,5.475,0.541,0.402
213,更加沉重,2.156,6.811,0.157,0.26
214,更为沉重,2.26,7.022,0.242,0.397
215,格外沉重,2.54,6.413,0.418,0.392
216,异常沉重,2.044,6.913,0.134,0.169
217,无比沉重,2.143,6.833,0.226,0.913
218,更佳,7.0,5.111,0.0,0.314
219,稍佳,6.038,3.778,0.158,0.585
220,愈佳,6.944,5.45,0.142,0.557
221,较佳,6.4,4.5,0.49,0.5
222,老垃圾,2.025,7.65,0.043,0.409
223,怪垃圾,2.0,7.85,0.0,0.335
224,好奇怪,3.667,6.0,0.471,0.0
225,有点奇怪,4.0,5.375,0.0,0.484
226,很奇怪,3.667,6.0,0.471,0.0
227,蛮奇怪,3.47,6.167,1.053,0.163
228,无比幸运,8.133,6.788,0.566,0.673
229,无比幸福,8.422,4.525,0.385,0.438
230,完全忽略,2.25,4.75,0.433,0.829
231,完全忽视,2.5,5.556,0.5,0.497
232,好怕,2.5,7.0,0.5,0.0
233,有点怕,3.25,6.5,0.433,0.5
234,怪怕,3.167,7.3,0.898,0.4
235,很怕,2.6,7.0,0.49,0.0
236,最怕,2.1,7.6,0.831,0.49
237,超怕,2.556,7.444,0.497,0.497
238,超级怕,2.138,7.55,0.239,0.304
239,越怕,2.389,7.113,0.378,0.262
240,愈怕,2.857,6.822,0.226,0.464
241,还怕,2.944,6.875,0.643,0.415
242,有点怪,3.475,4.338,0.349,0.583
243,老怪,3.75,5.9,0.433,0.917
244,很怪,2.6,5.444,0.49,0.497
245,蛮怪,3.3,4.713,0.224,0.511
246,万分抱歉,2.467,4.65,0.35,0.382
247,稍稍放心,5.75,4.167,0.354,0.943
248,稍微放心,5.833,2.713,0.254,0.473
249,完全放弃,1.978,6.525,0.063,0.466
250,略微放松,6.222,1.6,0.607,0.415
251,稍放松,5.611,3.5,0.314,0.707
252,稍稍放松,5.788,2.8,0.232,0.475
253,稍微放松,5.622,2.722,0.385,1.039
254,略放松,6.2,2.917,0.6,0.534
255,万分欣喜,7.889,7.622,0.551,0.447
256,无比欣慰,7.57,5.34,0.443,0.356
257,万分欣慰,7.8,6.16,0.508,0.206
258,还沾沾自喜,3.778,6.722,0.342,0.342
259,稍微玩,5.063,4.5,0.165,0.612
260,愈玩,5.214,6.063,0.525,0.682
261,还玩,4.457,6.333,0.484,0.373
262,异常保护,4.667,6.129,0.236,0.819
263,无比信心,8.313,6.938,0.704,0.39
264,无比勇气,7.963,7.478,0.07,0.449
265,好帅,7.0,6.333,0.0,0.471
266,特别帅,7.367,6.417,0.481,0.449
267,最帅,7.467,5.733,0.435,0.57
268,超级帅,7.944,7.444,0.437,0.55
269,越帅,6.838,5.975,0.331,0.869
270,蛮帅,7.25,6.063,0.354,0.634
271,挺帅,6.875,6.111,0.545,0.614
272,超帅,7.667,6.889,0.471,0.567
273,十分后悔,1.6,7.375,0.436,0.65
274,超后悔,2.0,6.0,0.0,0.816
275,超级后悔,1.333,7.083,0.471,0.672
276,万分后悔,2.225,6.222,0.259,0.644
277,最为恰当,7.156,6.0,0.406,0.66
278,十分活跃,6.975,7.875,0.066,0.179
279,相当活跃,7.214,7.611,0.247,0.698
280,异常活跃,7.52,8.511,0.357,0.325
281,最为活跃,7.188,8.056,0.428,0.797
282,较为流行,5.789,5.0,0.238,0.661
283,更加珍惜,7.467,6.4,0.374,0.49
284,格外珍惜,8.125,6.26,0.238,0.377
285,万分珍惜,8.333,6.56,0.49,0.393
286,尤其珍贵,7.6,6.325,0.397,0.691
287,格外珍贵,8.3,6.438,0.271,0.591
288,异常珍贵,8.233,6.638,0.309,0.223
289,最为珍贵,7.943,5.767,0.302,0.763
290,无比珍贵,7.913,6.633,0.215,0.442
291,极其珍贵,8.46,6.763,0.388,0.738
292,极为珍贵,8.022,5.656,0.625,0.506
293,太相信,8.0,6.0,0.0,0.0
294,还相信,7.438,5.813,0.39,0.496
295,更美好,7.444,6.222,0.497,0.416
296,更加美好,7.656,6.556,0.211,0.347
297,越苦,2.188,5.714,0.348,0.525
298,老英雄,7.75,7.063,0.433,0.726
299,更为重大,4.6,7.525,0.447,0.331
300,格外重大,3.567,8.044,0.346,0.34
301,最为重大,4.838,8.0,0.331,0.0
302,极其重大,5.1,8.071,0.663,0.175
303,极为重大,4.3,7.867,0.598,0.537
304,完全陌生,2.5,4.778,0.5,0.786
305,尤其值得,7.222,6.378,0.29,0.444
306,更值得,7.0,6.0,0.0,0.0
307,非常值得,7.222,7.0,0.416,0.775
308,相当值得,7.357,5.733,0.32,0.442
309,格外值得,7.229,6.533,0.249,0.397
310,蛮值得,6.51,5.871,0.391,0.175
311,略微哽咽,4.0,5.813,0.354,0.788
312,愈害怕,2.678,6.2,0.516,0.543
313,太差,2.5,5.429,0.5,0.495
314,比较差,3.0,4.111,0.0,0.737
315,更差,2.667,5.25,0.471,0.433
316,非常差,2.375,5.889,0.484,0.567
317,特别差,2.522,6.171,0.498,0.822
318,略差,3.889,4.9,0.314,0.2
319,最差,1.5,6.875,0.5,0.781
320,稍差,3.444,4.222,0.497,0.416
321,稍微差,3.713,4.278,0.392,0.754
322,超差,2.0,6.444,0.0,0.497
323,超级差,1.5,7.071,0.527,0.562
324,愈差,2.738,4.75,0.255,0.456
325,较差,3.513,5.233,0.366,0.419
326,还差,2.957,5.075,0.226,0.156
327,越差,2.944,4.778,0.183,0.52
328,太弱,2.778,5.667,0.416,0.471
329,有点弱,3.4,4.125,0.49,0.331
330,略弱,4.3,4.075,0.26,0.198
331,最弱,2.571,5.714,0.495,0.7
332,稍弱,3.625,4.222,0.484,0.416
333,越弱,2.756,4.94,0.556,0.858
334,愈弱,2.811,4.95,0.608,0.712
335,较弱,3.4,4.0,0.49,0.0
336,太恐怖,2.0,7.667,0.0,0.471
337,好恐怖,2.333,7.0,0.471,0.0
338,有点恐怖,3.014,7.08,0.879,0.811
339,更恐怖,2.0,7.4,0.0,0.49
340,怪恐怖,2.722,7.389,0.853,0.614
341,很恐怖,2.0,7.4,0.0,0.49
342,最恐怖,1.625,7.556,0.484,0.497
343,超级恐怖,2.05,7.567,0.087,0.368
344,蛮恐怖,2.311,7.356,0.39,0.521
345,超恐怖,1.625,7.667,0.484,0.471
346,极度恐惧,1.411,7.87,0.314,0.623
347,万分恐惧,1.625,8.056,0.82,0.497
348,无比振奋,7.833,8.222,0.373,0.671
349,略微气愤,2.956,6.733,0.673,0.32
350,完全消灭,2.388,7.363,0.385,0.671
351,无比真实,7.313,5.417,0.609,0.607
352,完全缺乏,2.556,5.667,0.497,0.471
353,极度缺乏,2.038,5.967,0.339,0.957
354,较缺乏,3.013,4.6,0.093,0.477
355,较为缺乏,2.763,4.37,0.308,1.017
356,好臭,3.0,5.556,0.0,0.497
357,老臭,2.6,5.5,0.428,0.354
358,很臭,2.625,5.667,0.484,0.667
359,超级臭,2.489,5.325,0.472,0.65
360,愈臭,3.343,5.343,0.392,0.424
361,越臭,3.071,5.643,0.495,0.35
362,略微衰退,3.833,4.063,0.236,0.3
363,稍稍衰退,4.25,3.929,0.25,0.562
364,非常讨厌,2.0,7.667,0.0,0.471
365,特别讨厌,1.889,7.438,0.737,0.464
366,最讨厌,1.6,8.0,0.49,0.0
367,超讨厌,1.467,7.833,0.316,0.183
368,超级讨厌,1.6,7.667,0.49,0.471
369,极度讨厌,1.725,7.989,0.222,0.42
370,十分高兴,8.125,7.938,0.217,0.165
371,非常高兴,8.0,8.0,0.0,0.0
372,很高兴,8.0,7.0,0.0,0.0
373,格外高兴,7.767,6.9,0.462,0.616
374,特别高兴,7.45,7.33,0.52,0.469
375,尤其偏好,5.4,5.186,0.321,0.541
376,尤其偏爱,6.0,5.75,1.225,0.75
377,更加坚强,7.811,7.063,0.191,0.086
378,格外坚强,7.144,6.822,0.211,0.397
379,异常坚强,7.643,7.125,0.35,0.415
380,无比坚强,7.378,6.625,0.308,0.526
381,万分寂寞,2.656,5.429,0.337,0.734
382,太强,7.5,6.556,0.5,0.497
383,比较强,6.6,5.625,0.49,0.484
384,有点强,5.988,4.689,0.203,0.681
385,非常强,7.15,6.613,0.212,0.395
386,特别强,7.375,6.625,0.484,0.484
387,略强,5.889,5.313,0.458,0.496
388,最强,7.625,6.75,0.484,0.433
389,稍强,6.213,4.98,0.237,0.768
390,稍微强,5.938,4.763,0.39,0.495
391,超级强,7.557,6.213,0.325,0.242
392,越强,7.0,6.0,0.0,0.0
393,愈强,7.0,6.0,0.0,0.0
394,较强,6.5,5.857,0.5,0.35
395,还强,6.778,6.056,0.853,0.497
396,蛮强,6.813,6.188,0.658,0.428
397,很强,7.0,6.0,0.0,0.0
398,尤其强烈,3.713,8.225,0.513,0.547
399,更为强烈,4.871,8.411,0.205,0.375
400,特别强烈,4.929,8.222,0.776,0.583
401,异常强烈,4.1,8.35,0.827,0.229
402,最为强烈,3.656,8.344,0.574,0.548
403,越发强烈,4.729,8.314,0.357,0.223
404,极其强烈,4.688,8.725,0.428,0.233
405,极为强烈,5.125,8.688,0.217,0.428
406,较强烈,4.733,7.711,0.408,0.472
407,较为强烈,3.714,7.5,0.647,0.816
408,老情人,5.857,6.333,0.875,0.745
409,异常情绪,3.5,6.286,0.75,0.364
410,极度排斥,1.833,7.833,0.577,0.707
411,完全控制,4.083,6.125,0.607,0.217
412,稍稍控制,4.513,3.967,0.355,0.69
413,稍微控制,4.5,4.25,0.408,0.382
414,十分敏感,3.813,6.375,0.704,0.415
415,尤其敏感,4.375,6.188,0.415,0.428
416,更为敏感,3.94,5.925,0.71,0.277
417,格外敏感,3.656,5.711,0.655,0.569
418,异常敏感,3.589,5.971,0.582,0.219
419,最为敏感,3.556,5.413,0.479,0.443
420,极其敏感,3.113,6.233,0.271,0.964
421,极度敏感,3.638,5.725,0.492,0.558
422,极为敏感,3.689,6.513,0.638,0.537
423,较敏感,4.088,5.05,0.169,0.794
424,较为敏感,3.888,5.238,0.411,0.32
425,十分清楚,6.143,4.857,0.35,0.639
426,比较清楚,5.333,4.286,0.471,0.452
427,更清楚,6.0,4.222,0.0,0.416
428,更加清楚,6.0,4.333,0.0,0.471
429,更为清楚,6.71,4.46,0.561,0.408
430,非常清楚,6.25,4.875,0.433,0.599
431,很清楚,5.778,4.333,0.416,0.471
432,相当清楚,6.0,4.111,0.0,0.737
433,最清楚,6.825,4.313,0.228,0.655
434,越清楚,6.0,4.571,0.0,0.728
435,愈清楚,6.75,4.475,0.187,0.792
436,较清楚,5.667,3.333,0.471,0.471
437,太爽,8.0,8.0,0.0,0.0
438,更爽,8.0,8.0,0.0,0.0
439,很爽,8.0,8.0,0.0,0.0
440,挺爽,7.356,7.35,0.422,0.292
441,特别爽,8.0,8.167,0.408,0.236
442,最爽,8.444,8.0,0.497,0.0
443,超爽,8.5,8.444,0.5,0.497
444,超级爽,7.95,8.075,0.274,0.13
445,越爽,7.611,7.778,0.614,0.533
446,愈爽,7.513,7.75,0.451,0.283
447,还爽,7.4,7.3,0.308,0.235
448,蛮爽,7.556,7.556,0.497,0.497
449,老笨蛋,2.488,6.356,0.488,0.604
450,太累,2.444,5.4,0.497,0.49
451,好累,2.289,5.85,0.197,0.214
452,很累,2.5,5.6,0.5,0.49
453,超级累,2.689,5.457,0.479,0.238
454,极度贫穷,1.444,6.671,0.406,0.995
455,太麻烦,2.667,6.0,0.471,0.0
456,比较麻烦,2.767,5.738,0.294,0.755
457,很麻烦,3.0,6.0,0.0,0.0
458,挺麻烦,3.289,5.622,0.502,0.549
459,超麻烦,2.4,6.333,0.49,0.471
460,超级麻烦,2.278,6.5,0.533,0.707
461,较麻烦,3.188,5.611,0.556,0.458
462,尤其喜爱,7.263,6.925,0.223,0.198
463,太喜欢,8.0,6.444,0.0,0.497
464,尤其喜欢,7.456,5.967,0.64,0.564
465,比较喜欢,6.7,5.0,0.9,0.707
466,好喜欢,8.0,6.333,0.0,0.471
467,老喜欢,6.3,6.25,0.872,0.692
468,更喜欢,8.0,6.5,0.0,0.5
469,非常喜欢,8.0,7.333,0.0,0.471
470,很喜欢,8.0,6.444,0.0,0.497
471,挺喜欢,7.367,5.689,0.589,0.491
472,特别喜欢,8.333,7.333,0.471,0.471
473,最喜欢,8.6,7.333,0.49,0.471
474,超喜欢,8.188,6.213,0.355,0.176
475,超级喜欢,8.389,7.688,0.515,0.428
476,较喜欢,6.533,5.756,0.499,0.472
477,还喜欢,7.3,5.878,0.494,0.745
478,蛮喜欢,7.178,5.913,0.681,0.423
479,异常悲愤,1.5,8.444,0.624,0.497
480,略闷,3.91,4.06,0.635,0.839
481,稍闷,4.125,4.4,0.217,0.735
482,更加恶化,2.4,6.778,0.435,0.487
483,更为恶化,2.178,6.8,0.563,0.575
484,更为恶劣,1.833,7.444,0.667,0.55
485,极其恶劣,1.7,7.95,0.224,0.283
486,极度恶劣,1.333,8.222,0.408,0.533
487,极为恶劣,1.611,7.175,0.423,0.733
488,太棒,7.444,6.625,0.497,0.484
489,更棒,7.0,6.4,0.0,0.49
490,非常棒,7.222,6.444,0.416,0.497
491,很棒,7.6,6.6,0.49,0.49
492,最棒,8.375,6.5,0.484,0.5
493,更为棘手,2.489,7.188,0.381,0.237
494,最为棘手,2.125,7.375,0.217,0.415
495,极其残忍,1.089,8.59,0.159,0.428
496,极为残忍,1.31,8.656,0.266,0.279
497,十分无奈,2.667,5.375,0.471,0.484
498,万分无奈,2.5,4.4,0.572,0.595
499,极其无能,2.156,7.211,0.324,0.335
500,太无聊,2.444,5.0,0.497,0.816
501,好无聊,2.6,4.333,0.49,0.667
502,有点无聊,3.956,3.757,0.414,0.604
503,很无聊,2.6,4.333,0.49,0.471
504,挺无聊,3.5,3.833,0.742,0.816
505,超无聊,2.322,3.7,0.815,0.951
506,超级无聊,2.989,5.56,0.191,0.463
507,极其无聊,2.444,4.571,0.437,1.015
508,蛮无聊,3.333,4.0,0.471,0.0
509,异常焦虑,1.938,7.167,0.3,0.624
510,万分焦虑,1.857,8.222,0.226,0.478
511,稍痛,3.944,5.444,0.283,0.437
512,超痛,2.0,7.5,0.0,0.5
513,超级痛,1.556,8.0,0.55,0.624
514,越痛,2.175,6.788,0.307,0.232
515,愈痛,2.238,7.063,0.218,0.278
516,极度痛苦,1.488,8.27,0.127,0.613
517,极为痛苦,1.65,7.933,0.45,0.522
518,万分痛苦,1.389,7.825,0.256,0.192
519,比较舒服,6.4,3.778,0.49,0.629
520,很舒服,7.0,4.25,0.0,0.433
521,挺舒服,6.963,3.938,0.43,0.698
522,超舒服,7.333,5.0,0.471,0.756
523,蛮舒服,7.0,3.6,0.0,0.49
524,超级舒服,7.522,5.45,0.385,0.791
525,更加舒适,7.322,3.675,0.561,0.521
526,更为舒适,7.214,5.875,0.247,0.65
527,较舒适,6.6,3.444,0.49,0.497
528,较为舒适,6.778,4.0,0.583,0.289
529,十分开心,8.0,7.0,0.0,0.0
530,好开心,8.05,7.45,0.132,0.311
531,非常开心,8.0,7.6,0.0,0.49
532,很开心,8.0,7.0,0.0,0.0
533,挺开心,7.1,6.55,0.8,1.036
534,格外开心,8.056,7.188,0.55,0.242
535,特别开心,8.214,7.438,0.247,0.39
536,无比开心,8.333,7.722,0.408,0.478
537,还开心,7.429,6.563,0.623,0.634
538,蛮开心,7.389,6.55,0.623,0.518
539,更加顺利,7.53,5.938,0.398,0.3
540,更为顺利,7.356,5.92,0.568,0.779
541,异常顺利,7.078,6.4,0.666,0.648
542,好乱,2.6,6.4,0.49,0.49
543,稍乱,4.188,4.75,0.242,0.612
544,越乱,2.517,6.756,0.069,0.241
545,愈乱,2.489,6.7,0.446,0.265
546,还乱,3.214,6.444,0.589,0.437
547,略嫌,3.688,4.75,0.44,0.612
548,稍嫌,3.744,4.633,0.455,0.631
549,超级干,0.922,8.644,0.162,0.506
550,超干,1.0,9.0,0.0,0.0
551,比较想,5.5,3.556,0.5,0.497
552,好想,5.667,4.375,0.471,0.484
553,完全想,5.8,5.12,0.245,0.676
554,挺想,5.563,5.222,0.527,0.885
555,特别想,6.0,5.125,0.775,0.781
556,略想,5.188,3.625,0.242,0.96
557,最想,5.75,4.889,0.433,0.567
558,稍稍想,5.1,3.078,0.166,0.498
559,稍微想,5.111,4.3,0.393,0.6
560,超想,5.625,5.625,0.484,0.484
561,超级想,6.444,5.283,0.437,0.833
562,越想,5.5,4.286,0.5,0.452
563,极度想,6.0,6.25,0.743,1.061
564,还想,5.057,4.071,0.14,0.678
565,蛮想,5.556,4.375,0.497,0.484
566,有点想,5.25,3.429,0.433,0.728
567,更想,5.667,4.25,0.471,0.433
568,愈想,5.733,3.9,0.501,0.587
569,太爱,8.889,6.5,0.314,0.5
570,尤其爱,8.088,5.55,0.683,0.456
571,比较爱,8.0,5.444,0.667,0.497
572,好爱,9.0,6.25,0.0,0.433
573,更爱,8.889,6.333,0.314,0.471
574,很爱,9.0,6.5,0.0,0.5
575,特别爱,9.0,6.889,0.0,0.737
576,超爱,9.0,7.0,0.0,0.0
577,越爱,8.278,5.329,0.6,0.75
578,较爱,7.8,5.19,0.671,0.936
579,还爱,6.625,6.0,0.65,0.433
580,超级爱,8.65,6.313,0.43,0.509
581,愈爱,8.786,6.389,0.247,0.458
582,蛮爱,7.333,6.167,0.986,0.333
583,万分感恩,7.689,6.3,0.491,0.6
584,十分感谢,7.533,6.467,0.508,0.386
585,尤其感谢,7.871,6.2,0.205,0.432
586,非常感谢,8.0,6.667,0.0,0.471
587,超级感谢,8.011,7.143,0.031,0.35
588,万分感谢,8.478,6.788,0.339,0.19
589,较为温和,5.85,3.738,0.255,0.487
590,异常温暖,7.12,5.271,0.578,0.547
591,无比温暖,7.77,5.113,0.529,0.891
592,格外温馨,8.35,5.36,0.24,1.009
593,很烦,2.444,6.4,0.497,0.49
594,超烦,2.0,6.625,0.0,0.484
595,超级烦,1.833,7.167,0.471,0.667
596,完全禁止,2.567,5.214,0.44,0.391
597,稍稍羡慕,5.188,5.688,0.348,0.428
