No.,text,Valence_Mean,Arousal_Mean,Valence_SD,Arousal_SD
103,赢得,7.4,7.0,1.02,1.265
104,下流,2.2,7.6,0.748,1.2
105,王八蛋,1.4,8.6,0.49,0.49
106,他妈的,1.4,8.4,0.49,0.8
107,白目,2.2,7.2,0.748,1.166
108,白痴,2.2,7.4,0.748,1.02
109,呸,2.4,7.4,0.8,1.02
110,垃圾,2.2,7.4,0.748,1.02
111,怪胎,2.4,7.0,0.8,1.414
112,放屁,2.6,7.0,1.02,1.673
113,狗屁,2.4,7.6,1.02,1.02
114,淫妇,1.8,7.8,0.4,1.166
115,混蛋,2.0,8.0,0.894,0.894
116,笨蛋,3.0,5.6,0.0,1.02
117,妈的,2.2,7.6,0.748,1.02
118,愚蠢,2.8,6.0,0.4,1.673
119,该死,2.6,7.6,1.02,1.2
120,贱,2.2,7.2,0.98,1.166
121,贱人,2.0,7.8,0.632,0.98
122,贱货,1.8,8.2,0.748,0.748
123,操,2.0,8.0,0.632,0.894
124,荡妇,1.8,7.8,0.748,0.98
125,蹩脚,3.6,5.2,0.8,1.939
126,坏蛋,3.0,6.4,0.632,1.356
127,烂货,2.2,6.8,0.748,1.72
128,白痴,2.4,6.4,0.8,1.625
129,八卦,3.4,4.6,0.49,1.855
130,仇人,2.2,7.2,0.4,0.98
131,仇恨,2.2,7.8,0.748,0.748
132,仇敌,2.0,7.6,0.632,1.02
133,分担,5.6,4.4,0.49,1.356
134,友,6.4,4.2,0.49,0.98
135,反驳,3.8,6.4,0.4,0.49
136,打岔,3.8,4.2,0.4,1.47
137,打架,2.6,7.6,0.49,0.49
138,打断,4.0,4.6,0.632,1.855
139,交往,6.4,5.2,0.49,1.72
140,同情,5.4,4.2,0.8,0.98
141,安心,5.6,2.4,0.49,1.497
142,伴侣,7.0,4.6,0.0,2.245
143,忌妒,3.0,6.8,0.632,0.98
144,批评,3.2,7.6,0.748,0.49
145,抗议,3.2,7.8,0.748,0.748
146,取笑,3.6,6.2,0.49,0.748
147,坦白,6.0,5.6,0.632,1.02
148,奉承,3.6,5.6,0.49,1.2
149,奉献,6.8,6.0,0.4,0.894
150,抱怨,2.8,6.6,0.4,0.49
151,拒绝,3.0,6.6,0.632,1.02
152,放心,6.2,3.2,0.4,1.327
153,朋友,6.8,4.2,0.748,1.166
154,争吵,3.4,6.6,0.49,1.02
155,争论,3.8,6.6,0.748,0.8
156,知己,7.2,4.8,0.4,1.327
157,侮辱,2.4,7.6,1.02,0.8
158,信服,6.4,5.4,0.49,0.8
159,信赖,7.2,5.4,0.4,1.497
160,冒犯,3.2,7.0,0.748,0.894
161,怨恨,2.0,7.8,0.632,0.4
162,指责,3.4,6.8,0.49,0.4
163,原谅,5.8,4.2,0.98,1.47
164,辱骂,2.4,7.0,1.02,1.673
165,斗争,3.0,7.4,0.632,0.49
166,情人,6.8,6.6,0.98,0.49
167,甜心,6.8,6.0,0.748,1.414
168,责备,3.4,6.4,0.49,0.8
169,逗弄,5.4,5.4,1.02,1.02
170,插嘴,3.6,5.6,0.49,1.497
171,款待,6.2,5.4,0.4,1.356
172,诅咒,2.2,7.4,0.98,1.02
173,开玩笑,6.2,5.2,0.748,1.166
174,闲话,4.0,4.4,0.632,1.356
175,爱人,7.2,6.8,0.4,1.166
176,爱恋,7.6,6.8,0.8,0.4
177,隔离,3.4,5.0,0.49,1.414
178,嘉奖,6.8,5.8,0.4,0.748
179,称赞,6.8,6.0,0.4,0.632
180,说服,5.0,4.2,0.632,1.47
181,说长道短,3.2,5.0,0.4,0.894
182,驳斥,2.8,7.2,0.748,0.4
183,嘲弄,2.6,6.2,0.8,0.748
184,嘲笑,2.6,6.6,0.8,0.49
185,嘲骂,2.6,7.4,0.8,0.8
186,嘲讽,2.6,7.4,0.49,0.8
187,宽恕,6.2,4.6,0.4,1.356
188,庆典,6.6,5.6,0.49,1.497
189,庆祝,7.0,6.4,0.0,1.2
190,怜悯,5.8,5.0,1.166,1.414
191,挚友,7.4,5.2,0.49,1.833
192,敌人,3.0,6.0,0.632,1.549
193,乐意,6.8,5.4,0.4,1.625
194,热爱,7.2,7.0,0.4,0.632
195,调情,5.4,6.8,1.356,0.748
196,谄媚,3.4,5.6,0.49,1.356
197,亲切,7.0,5.0,0.632,1.549
198,亲爱,7.4,6.0,0.49,1.265
199,亲爱的,7.2,6.4,0.4,1.356
200,帮手,6.4,4.8,0.49,0.98
201,戏弄,3.4,6.2,0.49,0.98
202,钟爱,7.0,6.6,0.632,1.497
203,归咎,3.2,5.6,0.4,0.49
204,离婚,2.4,5.8,1.02,1.327
205,怀疑,3.8,4.4,0.4,0.49
206,讥,3.2,6.0,0.4,0.894
207,宝贝,7.4,6.4,0.8,1.02
208,饶恕,5.6,5.0,0.8,1.789
209,谴责,3.0,7.2,0.632,0.4
210,欢迎,7.2,6.4,0.4,0.8
211,欢送,6.0,6.2,0.632,1.166
212,欢聚,7.2,6.2,0.98,1.47
213,恋人,7.0,5.8,0.0,1.47
214,恋爱,7.6,6.4,0.8,1.625
215,赞美,7.0,5.6,0.632,1.855
216,赞扬,7.6,6.6,0.49,1.855
217,赞誉,7.6,6.8,0.49,1.72
218,ㄏㄏ,5.8,4.6,0.4,1.625
219,一无所有,2.4,4.4,1.02,2.245
220,七窍生烟,2.2,7.8,1.166,1.166
221,了不起,7.0,6.4,1.095,0.8
222,人心惶惶,2.6,7.4,1.02,1.02
223,上级,4.8,4.4,0.4,1.744
224,上当,3.2,6.2,1.166,1.72
225,下定决心,6.2,6.8,0.748,1.6
226,口吃,3.8,4.0,0.748,1.673
227,大方,6.4,5.2,0.49,1.166
228,大笑,6.4,6.8,1.02,0.4
229,大胆,5.4,6.2,0.49,1.47
230,小气,3.6,4.6,0.49,1.356
231,小偷,3.2,5.6,0.748,1.497
232,才能,6.6,4.6,0.8,1.356
233,才智,7.0,4.6,0.632,1.356
234,不仁,3.0,5.8,1.095,1.166
235,不贞,2.8,6.8,0.98,1.327
236,不顾一切,4.6,7.8,1.02,0.98
237,中断,4.6,3.6,0.49,1.744
238,仁心,7.4,5.2,0.49,2.315
239,仁术,7.4,5.0,0.49,2.28
240,仁爱,7.8,5.2,0.4,2.638
241,仁慈,7.8,5.2,0.748,2.638
242,仁义,7.4,5.4,0.49,2.417
243,仇,2.4,6.0,1.02,0.894
244,仇杀,1.4,8.2,0.49,0.748
245,仇视,2.0,7.6,0.632,1.02
246,元凶,2.2,6.4,0.748,1.96
247,内疚,3.0,5.0,1.095,2.098
248,公愤,2.4,8.0,0.8,0.894
249,凶,2.8,7.2,1.166,0.98
250,分心,4.0,4.4,0.632,2.417
251,分手,2.8,6.4,1.166,1.855
252,分歧,3.2,5.6,0.748,1.625
253,分红,6.2,4.4,0.748,1.625
254,分散,4.4,3.8,0.8,1.47
255,分裂,3.6,5.8,0.8,2.04
256,勾引,3.8,6.4,0.4,0.8
257,厄运,3.0,5.8,0.632,1.47
258,及时,6.4,5.4,0.49,1.02
259,反抗,3.6,6.6,0.8,0.8
260,反叛,2.8,6.4,0.98,2.154
261,反派,3.2,5.0,0.4,1.673
262,反感,3.6,5.2,0.49,1.47
263,反对,3.4,6.2,0.8,1.166
264,天才,6.8,5.4,0.4,0.8
265,天堂,7.0,5.4,0.894,1.625
266,天资,5.8,4.4,0.748,1.744
267,天赋,6.0,4.4,0.894,1.744
268,幻想,4.6,4.2,0.49,0.98
269,引人注目,5.8,6.4,0.98,0.49
270,引诱,3.8,6.4,0.748,1.02
271,心灰意冷,2.8,3.6,0.4,1.744
272,心神不定,3.2,6.6,0.4,0.8
273,心神不宁,3.2,6.8,0.4,0.748
274,心情,5.0,3.6,0.0,1.744
275,心痛,2.6,7.2,1.02,0.98
276,心爱,7.2,6.4,0.98,1.497
277,心烦意乱,3.0,7.4,0.632,0.49
278,心碎,2.2,8.0,0.748,0.894
279,心酸,2.8,6.8,0.748,1.47
280,支配,4.6,5.2,0.49,0.748
281,欠债,3.4,4.6,0.49,1.02
282,毛骨悚然,2.2,8.0,1.166,0.894
283,火热,6.4,7.2,1.2,1.166
284,世仇,1.8,8.2,0.748,0.4
285,乏味,3.4,3.0,0.8,1.414
286,仔细,6.2,3.8,0.748,1.166
287,充沛,6.6,6.0,0.49,1.095
288,出色,7.2,5.6,0.4,1.497
289,功劳,6.8,5.4,0.748,1.96
290,古怪,4.2,4.8,0.4,0.748
291,可口,6.4,5.8,0.49,0.98
292,可怕,3.4,6.8,0.49,0.4
293,可耻,2.4,7.2,1.02,0.98
294,可笑,3.0,6.6,0.632,0.8
295,可悲,2.6,6.4,0.49,1.02
296,可恶,2.4,7.2,0.8,1.166
297,可爱,7.0,6.2,0.632,1.166
298,可鄙,2.4,7.4,0.8,0.8
299,可憎,2.4,7.2,0.8,1.166
300,可怜,3.6,5.2,0.49,1.47
301,可靠,6.8,5.2,0.748,1.327
302,外向,6.0,5.8,0.632,1.166
303,外行,3.8,4.6,0.4,1.356
304,外伤,3.6,6.2,1.02,1.166
305,失眠,3.0,3.6,0.894,1.855
306,失控,2.4,7.8,1.02,0.748
307,失望,3.0,5.6,0.632,1.356
308,失误,3.6,5.4,0.49,1.625
309,平安,7.2,3.4,0.4,1.497
310,平和,7.0,2.8,0.632,1.72
311,平庸,4.6,3.0,0.8,1.414
312,平静,6.4,2.4,1.02,1.497
313,平稳,5.8,3.4,0.4,1.356
314,打仗,3.0,7.6,0.894,0.49
315,打倒,3.4,6.6,0.49,1.02
316,打破,4.0,6.2,0.632,1.166
317,打情骂俏,4.6,6.6,0.49,0.8
318,打败,6.2,6.0,1.166,0.894
319,打击,4.2,6.8,0.748,1.327
320,打扰,3.6,5.6,0.49,2.059
321,打搅,3.6,5.6,0.49,2.059
322,末日,1.8,6.8,0.748,2.227
323,正面,6.6,4.6,0.49,1.356
324,生命力,6.8,5.8,0.748,1.166
325,生气,5.4,5.8,1.625,1.47
326,生气勃勃,7.0,6.8,0.0,1.6
327,生病,3.4,4.0,0.49,0.894
328,生动,6.4,5.8,0.49,0.98
329,生疏,3.8,3.4,0.4,1.356
330,生厌,3.4,5.8,0.49,1.166
331,用力,5.0,7.0,0.0,0.0
332,目瞪口呆,5.0,7.4,0.0,1.356
333,矛盾,4.2,4.6,0.4,1.356
334,丢人,2.8,6.0,0.4,1.095
335,丢人现眼,2.4,6.8,0.8,0.98
336,丢下,2.8,5.4,1.166,2.245
337,丢弃,3.0,5.6,1.095,1.96
338,丢脸,3.0,5.8,0.632,1.6
339,交战,4.0,7.4,0.632,0.8
340,任性,3.4,5.4,0.49,1.356
341,凶,3.4,7.2,0.8,0.748
342,光亮,5.8,4.6,0.748,1.625
343,光荣,6.8,6.2,0.4,1.166
344,光辉,6.6,5.8,0.49,1.166
345,劣,3.0,5.0,0.894,0.632
346,危,3.2,6.6,0.98,1.02
347,吃醋,3.6,6.6,0.49,0.8
348,吃惊,3.8,7.8,1.166,0.4
349,合宜,6.2,4.4,0.4,1.625
350,回春,6.2,4.8,0.4,1.6
351,多情,4.2,6.0,1.327,1.095
352,多疑,3.8,6.0,0.4,0.632
353,好玩,6.2,5.8,0.4,1.166
354,好笑,6.2,6.4,0.748,0.8
355,好处,6.2,5.0,0.4,1.673
356,好棒,7.2,6.6,1.166,1.356
357,好运,6.6,5.2,0.49,1.72
358,妄想,3.2,6.0,0.748,1.414
359,安全,6.4,4.4,0.49,1.2
360,安逸,6.0,3.4,0.632,1.497
361,安宁,6.2,2.8,0.748,1.327
362,安静,5.6,2.4,0.8,1.497
363,安稳,6.0,2.6,0.632,1.625
364,成见,3.8,5.2,0.4,1.327
365,成就,7.0,6.2,0.0,1.47
366,收获,6.8,5.6,0.4,1.497
367,曲解,3.4,6.0,0.49,1.414
368,有力,6.0,6.0,0.894,0.894
369,有用,6.4,5.2,0.49,1.327
370,有利,5.8,5.4,0.98,1.356
371,有助,6.4,5.2,0.49,1.6
372,有害,3.4,5.6,0.49,1.02
373,有效,6.6,5.0,0.8,1.549
374,有益,6.6,5.0,0.8,1.549
375,有趣,7.0,5.6,0.632,1.497
376,有钱,6.4,5.4,0.49,1.855
377,次要,4.6,5.0,0.49,1.095
378,次等,4.0,4.6,0.0,0.8
379,死人,2.2,7.0,0.748,1.414
380,死亡,2.2,6.8,0.748,1.47
381,死不,3.8,5.6,1.304,0.894
382,死心,2.4,5.8,0.49,2.227
383,死刑,2.4,7.2,1.02,1.327
384,死气,3.0,5.8,0.632,1.72
385,死期,2.8,6.6,1.166,1.625
386,死当,3.0,6.4,1.095,1.497
387,死路,3.2,5.0,0.98,1.673
388,死对头,2.6,7.4,1.356,1.02
389,污秽,2.4,7.2,1.2,0.98
390,灰心,3.6,4.6,0.49,1.356
391,百感交集,3.4,7.2,1.02,0.98
392,自大,3.0,6.6,0.632,1.497
393,自甘堕落,2.6,5.2,0.8,1.939
394,自由,6.6,5.2,0.49,1.939
395,自在,6.8,4.6,0.748,2.245
396,自私,3.2,4.6,0.748,0.8
397,自卑,2.6,3.8,0.8,1.47
398,自信,7.0,5.6,0.632,1.02
399,自负,4.6,6.0,1.2,1.095
400,自责,3.6,5.2,0.8,1.166
401,自尊,5.4,4.8,0.49,1.6
402,自豪,6.6,6.0,0.49,0.894
403,自鸣得意,4.2,5.0,0.4,1.897
404,自暴自弃,2.0,7.0,0.894,2.098
405,至高无上,7.6,6.8,1.2,1.47
406,至善,7.6,6.0,0.8,2.191
407,色情,2.8,6.2,0.98,1.72
408,伶俐,6.8,5.0,0.748,1.673
409,低沉,4.6,3.4,0.49,1.855
410,低能,2.6,4.6,0.8,1.855
411,低能儿,2.6,4.8,1.02,1.6
412,低迷,3.6,3.2,0.8,1.47
413,低落,3.8,3.0,0.4,1.414
414,占便宜,3.6,4.4,0.49,1.356
415,作呕,2.6,7.4,1.02,1.02
416,作弊,2.0,6.4,1.095,1.497
417,克制,5.0,5.0,0.632,1.673
418,免费,6.2,4.8,1.166,2.135
419,冷,3.6,4.4,1.02,0.8
420,冷淡,3.0,3.6,0.632,0.8
421,冷酷,2.4,5.4,1.02,1.855
422,冷静,5.2,4.4,0.4,2.245
423,利己,5.6,4.8,1.02,0.98
424,利益,6.2,5.0,0.748,1.673
425,利润,6.6,5.4,0.8,1.625
426,吝啬,3.4,4.6,0.8,1.02
427,含糊,3.8,4.2,0.4,0.98
428,吹毛求疵,3.2,5.6,0.4,0.8
429,吻,7.2,7.6,0.98,0.8
430,呆,3.8,3.8,0.748,1.6
431,困,3.8,4.4,0.748,1.497
432,坎坷,2.0,4.8,0.632,2.561
433,壮阔,6.8,6.0,0.748,1.549
434,壮丽,7.0,6.4,0.632,1.744
435,壮观,7.0,6.8,0.632,1.327
436,妓女,2.8,4.8,0.98,1.327
437,妨害,2.6,6.2,1.02,0.748
438,妨碍,3.2,5.8,0.748,1.166
439,孝,7.2,4.0,1.166,1.265
440,孝顺,7.4,5.4,1.02,1.625
441,孝敬,7.4,5.4,1.02,1.02
442,完美,7.6,6.4,0.8,1.744
443,完备,6.8,4.8,0.748,0.98
444,完善,6.8,4.6,0.748,1.356
445,宏大,7.0,6.0,0.632,0.894
446,宏伟,7.2,7.0,0.98,0.632
447,屁眼,1.8,5.6,1.166,1.356
448,岔开,4.0,4.2,1.095,1.72
449,巫婆,3.6,5.0,0.8,1.265
450,庇护,6.2,5.6,1.166,0.49
451,弄痛,3.0,6.4,1.265,1.497
452,弄坏,3.2,6.0,0.748,1.673
453,忍,3.8,5.0,0.748,1.673
454,忐忑,3.8,6.8,0.748,0.748
455,忘恩负义,1.8,7.8,1.166,0.98
456,快乐,7.2,6.4,0.4,0.8
457,扭曲,3.6,5.2,0.8,1.6
458,扶持,6.0,4.2,1.549,1.166
459,批判,2.6,6.8,0.49,0.4
460,把握,5.8,4.6,0.4,1.02
461,抑制,4.8,5.4,1.166,1.855
462,抑郁,2.4,5.8,0.8,1.939
463,投入,6.0,5.2,0.894,1.833
464,抗争,3.4,7.2,1.2,0.748
465,折磨,2.4,7.0,0.49,1.095
466,改善,6.6,5.2,0.49,1.327
467,改进,6.2,4.6,0.748,1.855
468,攻势,5.2,6.4,0.4,1.2
469,攻击,3.6,7.4,1.02,1.2
470,决心,6.4,6.6,0.49,1.02
471,决定,6.0,7.0,1.095,0.894
472,沉重,3.2,5.8,0.4,0.98
473,沉迷,3.0,5.2,0.0,1.47
474,沉著,6.4,3.2,1.02,1.166
475,灾,2.0,5.6,0.894,1.744
476,牢骚,3.4,6.2,0.49,0.98
477,狂怒,1.6,8.6,0.49,0.49
478,狂笑,8.2,8.2,0.4,0.4
479,狂喜,8.6,8.8,0.49,0.4
480,狂暴,1.8,8.8,0.748,0.4
481,狂热,4.6,8.8,1.356,0.4
482,狂躁,2.2,8.8,0.748,0.4
483,私生子,3.2,4.0,0.748,1.265
484,肝肠寸断,1.6,8.0,0.8,1.549
485,良,6.4,4.8,0.49,1.6
486,走运,7.0,5.8,0.632,1.327
487,辛酸,2.8,6.0,0.748,1.414
488,邪恶,2.4,6.6,0.8,1.356
489,享受,6.6,4.8,0.49,1.327
490,佳,6.4,4.6,0.49,0.8
491,使劲,4.6,6.4,1.356,0.8
492,依恋,5.6,5.6,1.356,1.855
493,典范,7.2,5.4,0.748,1.625
494,刺眼,3.2,5.6,0.748,2.059
495,刺痛,2.8,6.6,0.98,1.497
496,刺伤,2.8,7.0,1.166,1.265
497,刺激,4.2,8.0,1.166,0.632
498,刻薄,2.8,6.6,0.748,1.02
499,卑劣,2.0,8.0,0.632,0.632
500,卑鄙,1.8,8.2,0.748,0.748
501,受不了,3.0,7.4,0.632,0.8
502,受苦,3.0,6.0,0.632,0.894
503,受虐,1.8,8.0,0.4,0.632
504,受害,1.8,7.8,0.748,0.748
505,受惠,7.0,5.4,0.0,1.02
506,受伤,2.8,5.4,0.748,1.02
507,受罪,2.8,6.8,0.4,0.4
508,受骗,3.0,6.4,0.632,1.02
509,周到,6.6,4.4,0.49,1.2
510,呵呵,6.0,4.6,0.632,1.855
511,呼天抢地,1.8,8.8,0.748,0.4
512,命运,4.8,4.4,0.4,1.744
513,咆啸,3.6,8.0,1.356,0.632
514,和平,6.4,3.2,0.8,1.6
515,和善,7.0,3.0,0.0,1.095
516,和煦,6.8,4.0,0.4,1.265
517,和睦,6.6,4.2,1.02,1.47
518,和谐,7.2,3.4,0.748,1.356
519,和蔼,7.4,3.4,0.49,1.356
520,咒骂,2.4,7.4,0.49,0.49
521,固执,3.4,5.4,0.49,1.96
522,坦率,6.6,4.6,0.49,1.497
523,坦诚,7.0,4.2,0.0,1.47
524,奇怪,4.2,5.2,0.4,0.4
525,奇特,5.4,5.4,0.49,0.49
526,孤,3.4,4.6,0.49,1.497
527,宜人,6.4,3.8,0.49,1.327
528,幸运,7.2,5.4,0.748,0.49
529,幸福,7.8,4.0,0.748,2.191
530,忠,7.0,5.4,0.632,0.8
531,忠心,7.4,6.2,0.49,1.166
532,忠孝,7.4,5.8,1.2,1.166
533,忠诚,7.2,5.8,1.166,1.47
534,忠实,7.0,5.8,1.265,1.47
535,忽略,4.0,3.8,0.0,1.6
536,忽视,3.2,4.8,0.4,1.6
537,怕,3.2,6.4,0.748,0.8
538,怕生,4.0,5.2,0.0,0.748
539,怕羞,4.2,5.4,0.4,1.356
540,怡人,6.0,4.2,0.0,1.6
541,性情,5.2,4.4,0.4,1.744
542,性骚扰,2.6,6.6,0.49,1.497
543,怪,3.4,4.8,0.49,1.47
544,怪异,3.6,5.0,0.49,1.414
545,怪诞,3.4,5.8,0.49,1.166
546,承担,5.2,5.4,1.166,1.356
547,承诺,6.6,5.2,0.49,1.833
548,抨击,2.8,7.2,0.748,0.748
549,抱歉,4.0,3.8,0.632,0.98
550,抵制,3.2,6.6,0.748,0.8
551,拉紧,5.2,5.6,0.4,0.8
552,抛弃,2.6,5.8,0.49,1.47
553,拙劣,2.6,6.2,0.8,1.72
554,放任,3.0,6.2,0.632,1.47
555,放弃,2.6,5.8,0.49,2.135
556,放肆,2.4,7.8,0.49,0.4
557,放纵,2.8,6.8,0.748,1.166
558,放松,6.2,2.0,0.748,0.894
559,昂贵,3.8,4.4,0.4,1.356
560,明亮,6.6,4.0,0.49,1.265
561,明智,7.2,4.4,0.4,1.625
562,昏沉,3.2,3.4,0.4,1.855
563,昏乱,3.4,5.2,0.49,1.327
564,昏头,3.4,4.8,0.49,1.327
565,易怒,3.2,6.6,0.98,1.02
566,服从,5.4,3.8,0.49,1.47
567,枉然,3.4,4.2,0.49,1.6
568,果断,6.0,6.0,0.632,0.632
569,欣欣,6.4,6.4,0.8,1.356
570,欣喜,7.0,7.0,0.632,0.632
571,欣然,6.4,6.2,0.49,1.327
572,欣慰,6.2,4.6,0.4,1.2
573,欣赏,6.8,5.6,0.4,1.02
574,歧视,2.8,6.8,0.4,0.748
575,沮丧,2.8,5.2,0.748,1.833
576,治疗,5.4,3.8,1.02,1.833
577,沾沾自喜,4.6,6.0,1.2,1.095
578,泣,3.4,5.0,0.49,1.095
579,玩耍,6.2,5.8,0.748,1.47
580,玩笑,5.6,6.0,1.2,0.894
581,玩乐,6.2,6.6,1.327,0.49
582,知足,6.6,4.2,0.49,1.939
583,知识,6.6,3.4,1.02,1.855
584,空洞,4.0,3.2,0.632,1.166
585,空虚,3.0,4.2,0.632,1.166
586,花招,4.0,4.8,0.632,0.748
587,长处,6.8,4.8,0.4,1.47
588,非人,3.4,5.8,1.02,0.748
589,非礼,2.2,7.6,0.4,0.49
590,非难,3.2,5.6,0.4,0.8
591,侵犯,2.4,6.2,0.49,2.227
592,侵占,2.6,6.6,0.49,1.855
593,侵害,2.4,7.2,0.49,0.748
594,侵略,2.4,7.8,0.49,0.748
595,侵扰,3.0,6.8,0.0,0.4
596,侵袭,2.6,7.8,0.49,0.4
597,局促,4.0,5.6,0.0,1.497
598,俊美,6.6,4.6,0.49,1.356
599,俗,3.8,4.6,0.748,0.49
600,俗气,3.8,4.4,0.4,0.8
601,保卫,5.8,6.4,0.4,0.49
602,保证,6.6,6.2,0.49,0.98
603,保护,6.8,6.8,0.98,0.4
604,信心,7.4,5.4,0.8,0.49
605,信奉,6.6,5.2,0.8,1.327
606,信义,7.0,5.4,0.632,0.8
607,信实,6.6,4.8,0.49,0.98
608,信誉,7.0,5.4,0.0,1.625
609,冒险,4.8,7.6,0.98,0.49
610,冠军,8.0,7.4,0.0,0.49
611,勇气,7.6,6.8,0.8,0.98
612,勇敢,7.4,6.6,0.8,0.49
613,勉强,3.8,5.0,0.748,0.894
614,叛乱,2.4,7.8,0.49,0.4
615,咬牙切齿,2.2,8.2,0.748,0.4
616,咯咯笑,6.4,5.8,0.49,1.166
617,哀求,2.8,5.6,0.4,1.497
618,哀怨,2.8,6.0,0.748,1.549
619,哀凄,2.6,5.6,0.8,2.154
620,哀痛,2.4,6.6,0.49,1.356
621,哀伤,2.4,5.4,0.49,1.96
622,哀愁,2.4,5.4,0.49,2.059
623,哀号,2.0,7.4,0.0,0.49
624,哀恸,1.8,7.6,0.4,0.49
625,品行,5.4,4.6,0.8,1.356
626,品德,5.2,4.2,0.4,1.72
627,哄骗,3.4,5.6,0.49,1.2
628,哈,5.8,5.2,0.748,1.327
629,哈哈,6.6,6.0,1.356,0.894
630,威胁,3.0,7.4,0.632,0.49
631,威严,5.4,5.4,1.02,0.49
632,帅,6.6,5.2,0.49,1.327
